nofast,yesfast,nohappy,yeshappy,nosent,yessent,Class
0,0,0,0,0.3268,0,-1
0,0,0.923,0,0.3268,0.8661,-1
0.3834,0,0,0,0,0,-1
0,0,0,0,0.3268,0,-1
0,0,0.4615,0,0.3268,0,-1
0,0,0,0,0.6536,0,-1
0,0,0.4615,0,0,0,-1
1.1502,0,0,0,0,0,-1
0.3834,0,0,0,0,0,-1
0.3834,0,0,0,0.3268,0,-1
0.3834,0,0,0,0,0,-1
0,0,0,0,0.3268,0,-1
0.3834,0,0,0,0,0,-1
0,0,0.923,0,0,0,-1
0.3834,0,0,0,0.3268,0,-1
0.7668,0,0,0,0,0,-1
0.3834,0,0,0,0,0,-1
0.3834,0,0,0,0.3268,0,-1
0.3834,0,0,0,0,0,-1
0.7668,0,0,0,0,0.8661,-1
0,0,0.923,0,0,0,-1
0,1.3779,0,2.0515,0,0,1
0,1.3779,0,1.0258,0,0,1
0,0,0,2.0515,0,0,1
0,0,0,2.0515,0,0,1
0,0,0,0,0,0.8661,1
0,0,0,1.0258,0,0,1
0,0,0,0,0,0.8661,1
